Timestamp (ms),Piezo Value Left,Piezo Value Right,Label
58369,8,13, right
58452,8,14, right
58537,11,16, right
58623,9,16, right
58708,7,13, right
58793,7,14, right
58878,10,17, right
58964,9,15, right
59049,7,13, right
59134,8,15, right
59219,12,16, right
59305,9,15, right
59390,7,13, right
59475,9,15, right
59560,11,16, right
59646,10,14, right
59732,8,13, right
59817,10,15, right
59903,11,16, right
59989,8,13, right
,,,
0,0,13, right
81,9,13, right
163,0,13, right
246,0,12, right
329,0,14, right
412,0,15, right
495,0,15, right
578,119,19, left
663,189,15, left
748,0,7, right
830,0,6, right
912,0,10, right
995,36,13, left
1079,78,14, left
1164,120,10, left
1250,0,10, right
1334,0,12, right
1418,24,13, left
1503,91,12, left
1588,72,12, left
1673,0,13, right
1757,0,13, right
1841,31,13, left
1926,65,11, left
2013,35,14, left
2098,0,14, right
2182,6,13, right
2266,18,12, left
2351,11,14, right
2436,0,15, right
2520,0,13, right
2604,0,11, right
2688,18,10, left
2773,22,12, left
2858,0,11, right
2942,0,7, right
3025,25,7, left
3109,147,10, left
3195,316,14, left
3281,298,12, left
3367,72,10, left
3452,0,15, right
3536,0,18, right
3620,177,17, left
3706,226,14, left
3792,37,16, left
3877,0,17, right
3961,0,15, right
4045,118,15, left
4133,195,16, left
4219,117,16, left
4305,30,13, left
4390,0,14, right
4474,31,17, left
4559,62,17, left
4644,29,14, left
4729,4,14, right
4813,22,16, left
4898,43,17, left
4983,32,15, left
5068,9,14, right
5152,15,16, right
5237,32,17, left
5322,26,16, left
5407,9,14, right
5491,15,15, middle
5576,27,17, left
5661,25,16, left
5746,14,14, middle
5831,17,15, left
5916,26,17, left
6001,24,16, left
6086,21,14, left
6171,21,15, left
6258,30,18, left
6343,21,16, left
6428,19,14, left
6513,9,16, right
6597,11,17, right
6682,21,16, left
6767,16,14, left
6852,11,15, right
6937,12,18, right
7022,18,16, left
7107,17,14, left
7192,17,16, left
7277,22,17, left
7362,19,16, left
7447,15,14, left
7532,15,15, middle
