Timestamp (ms), rf Distance left, rf Distance right, Label
78928,120,55, right
79059,120,55, right
79189,120,55, right
79319,120,55, right
79450,120,55, right
79580,120,55, right
79711,120,55, right
79841,120,55, right
79972,120,55, right
80102,120,55, right
80233,120,55, right
80363,120,55, right
80496,120,55, right
80626,120,55, right
80757,120,55, right
80887,120,55, right
81018,120,55, right
81148,120,55, right
81279,120,55, right
81409,120,55, right
81539,120,55, right
81670,120,55, right
81800,120,55, right
81931,120,55, right
82061,120,55, right
82192,120,55, right
82322,114,55, right
82442,119,55, right
82562,119,55, right
82693,119,55, right
82826,119,55, right
82956,119,55, right
83086,119,55, right
83217,119,55, right
83347,119,55, right
83478,119,55, right
83608,119,55, right
83739,119,55, right
83869,119,55, right
84000,119,55, right
84130,119,55, right
84260,119,55, right
84391,119,55, right
84521,119,55, right
84652,119,55, right
84782,119,55, right
84913,119,55, right
85043,119,55, right
85176,119,55, right
85307,119,55, right
85437,119,55, right
85567,119,55, right
85698,119,55, right
85828,119,55, right
85959,119,55, right
86089,119,55, right
86220,119,55, right
86350,119,55, right
86481,119,55, right
86611,119,55, right
86741,119,55, right
86872,119,55, right
87002,119,55, right
87133,119,55, right
87263,119,55, right
87396,119,55, right
87527,119,55, right
87657,119,55, right
87788,119,55, right
87918,119,55, right
88048,119,55, right
88179,119,55, right
88309,119,55, right
88440,119,55, right
88570,119,55, right
88701,119,55, right
88831,119,55, right
88962,119,55, right
89092,119,55, right
89223,119,55, right
89353,119,55, right
89483,119,55, right
89614,119,55, right
89747,119,55, right
89877,119,55, right
