Timestamp (ms), Piezo Value,Label
14989,449, sitting
15046,495, sitting
15103,483, sitting
15160,498, sitting
15217,507, sitting
15274,414, sitting
15331,358, sitting
15388,461, sitting
15445,486, sitting
15502,470, sitting
15559,458, sitting
15616,419, sitting
15673,440, sitting
15730,418, sitting
15787,418, sitting
15847,451, sitting
15904,464, sitting
15961,458, sitting
16018,426, sitting
16075,408, sitting
16132,408, sitting
16189,408, sitting
16246,441, sitting
16303,509, sitting
16360,485, sitting
16417,384, sitting
16474,379, sitting
16531,462, sitting
16588,484, sitting
16645,480, sitting
16702,443, sitting
16759,357, sitting
16816,399, sitting
16873,440, sitting
16930,448, sitting
16987,465, sitting
17044,484, sitting
17101,400, sitting
17158,353, sitting
17215,407, sitting
17275,427, sitting
17332,415, sitting
17389,457, sitting
17446,471, sitting
17503,429, sitting
17560,377, sitting
17617,393, sitting
17674,389, sitting
17731,462, sitting
17788,451, sitting
17845,422, sitting
17902,434, sitting
17959,446, sitting
18016,410, sitting
18073,421, sitting
18130,416, sitting
18187,395, sitting
18244,384, sitting
18301,416, sitting
18358,419, sitting
18415,431, sitting
18472,442, sitting
18529,458, sitting
18586,408, sitting
18646,327, sitting
18703,374, sitting
18760,420, sitting
18817,436, sitting
18874,424, sitting
18931,376, sitting
18988,341, sitting
19045,379, sitting
19102,391, sitting
19159,394, sitting
19216,398, sitting
19273,414, sitting
19330,429, sitting
19387,391, sitting
19444,379, sitting
19501,414, sitting
19558,417, sitting
19615,416, sitting
19672,446, sitting
19729,397, sitting
19786,345, sitting
19843,375, sitting
19900,412, sitting
19957,413, sitting
20017,407, sitting
20074,401, sitting
20131,390, sitting
20188,394, sitting
20245,382, sitting
20302,377, sitting
20359,385, sitting
20416,382, sitting
20473,379, sitting
20530,374, sitting
20587,375, sitting
20644,374, sitting
20701,381, sitting
20758,393, sitting
20815,405, sitting
20872,397, sitting
20929,383, sitting
20986,361, sitting
21043,389, sitting
21100,399, sitting
21157,375, sitting
21214,379, sitting
21271,394, sitting
21328,380, sitting
21385,377, sitting
21445,381, sitting
21502,378, sitting
21559,379, sitting
21616,385, sitting
21673,388, sitting
21730,391, sitting
21787,386, sitting
21844,387, sitting
21901,380, sitting
21958,380, sitting
22015,389, sitting
22072,385, sitting
22129,381, sitting
22186,378, sitting
22243,374, sitting
22300,375, sitting
22357,384, sitting
22414,388, sitting
22471,381, sitting
22528,381, sitting
22585,377, sitting
22642,372, sitting
22699,378, sitting
22756,409, sitting
22816,413, sitting
22873,417, sitting
22930,397, sitting
22987,405, sitting
23044,403, sitting
23101,392, sitting
23158,381, sitting
23215,373, sitting
23272,362, sitting
23329,347, sitting
23386,339, sitting
23443,350, sitting
23500,361, sitting
23557,389, sitting
23614,408, sitting
23671,423, sitting
23728,452, sitting
23785,459, sitting
23842,462, sitting
23899,457, sitting
23956,457, sitting
24013,456, sitting
24070,450, sitting
24127,441, sitting
24184,440, sitting
24244,456, sitting
24301,467, sitting
24358,461, sitting
24415,459, sitting
24472,450, sitting
24529,417, sitting
24586,391, sitting
24643,385, sitting
24700,383, sitting
24757,386, sitting
24814,403, sitting
24871,416, sitting
24928,423, sitting
24985,434, sitting
25042,454, sitting
25099,492, sitting
25156,518, sitting
25213,528, sitting
25270,513, sitting
25327,504, sitting
25384,499, sitting
25441,468, sitting
25498,450, sitting
25555,455, sitting
25615,455, sitting
25672,447, sitting
25729,445, sitting
25786,443, sitting
25843,434, sitting
25900,427, sitting
25957,424, sitting
26014,427, sitting
26071,429, sitting
26128,432, sitting
26185,435, sitting
26242,432, sitting
26299,430, sitting
26356,419, sitting
26413,414, sitting
26470,399, sitting
26527,423, sitting
26584,442, sitting
26641,444, sitting
26698,432, sitting
26755,428, sitting
26812,416, sitting
26869,394, sitting
26926,473, sitting
26986,738, sitting
27043,938, sitting
27100,1009, sitting
27158,1003, sitting
27216,961, sitting
27273,898, sitting
27330,828, sitting
27387,759, sitting
27444,672, sitting
27501,562, sitting
27558,503, sitting
27615,496, sitting
27672,545, sitting
27729,668, sitting
27786,853, sitting
27843,1023, sitting
27901,1023, sitting
27959,1023, sitting
28017,1023, sitting
28075,1007, sitting
28133,834, sitting
28190,582, sitting
28247,442, sitting
28304,412, sitting
28364,306, sitting
28421,138, empty
28478,46, empty
28534,39, empty
28590,45, empty
28646,18, empty
28702,4, empty
28757,27, empty
28813,85, empty
28869,140, empty
28926,177, sitting
28983,175, sitting
29040,183, sitting
29097,199, sitting
29154,225, sitting
29211,236, sitting
29268,246, sitting
29325,251, sitting
29382,254, sitting
29439,250, sitting
29496,249, sitting
29553,233, sitting
29610,210, sitting
29667,191, sitting
29724,186, sitting
29781,192, sitting
29841,200, sitting
29898,216, sitting
29955,214, sitting
0,105, empty
53,101, empty
107,105, empty
162,106, empty
217,102, empty
272,103, empty
327,106, empty
382,105, empty
437,110, empty
492,100, empty
547,106, empty
602,106, empty
657,100, empty
712,102, empty
767,106, empty
822,106, empty
877,101, empty
932,103, empty
987,106, empty
1042,104, empty
1098,102, empty
1154,102, empty
1210,105, empty
1266,107, empty
1322,109, empty
1378,101, empty
1434,102, empty
1490,106, empty
1546,106, empty
1605,105, empty
1661,100, empty
1717,102, empty
1773,105, empty
1829,113, empty
1885,105, empty
1941,111, empty
1997,103, empty
2053,104, empty
2109,106, empty
2165,106, empty
2221,103, empty
2277,102, empty
2333,103, empty
2389,107, empty
2445,105, empty
2501,103, empty
2557,102, empty
2613,105, empty
2669,106, empty
2725,98, empty
2780,101, empty
2836,104, empty
2892,105, empty
2948,106, empty
3004,103, empty
3060,102, empty
3116,104, empty
3175,105, empty
3231,107, empty
3287,105, empty
3343,102, empty
3399,102, empty
3455,107, empty
3511,106, empty
3567,105, empty
3623,104, empty
3679,102, empty
3735,105, empty
3791,106, empty
3847,106, empty
3903,102, empty
3959,104, empty
4015,104, empty
4071,106, empty
4127,104, empty
4183,103, empty
4239,105, empty
4295,108, empty
4351,105, empty
4407,102, empty
4463,102, empty
4519,106, empty
4575,108, empty
4631,107, empty
4687,104, empty
4743,102, empty
4797,107, empty
4853,105, empty
4909,101, empty
4965,102, empty
5021,105, empty
5077,106, empty
5133,106, empty
5189,104, empty
5245,102, empty
5301,105, empty
5357,98, empty
5412,111, empty
5468,102, empty
5524,99, empty
5579,106, empty
5635,107, empty
5691,105, empty
5747,102, empty
5803,104, empty
5859,106, empty
5915,106, empty
5971,104, empty
6027,98, empty
6082,104, empty
6138,106, empty
6194,105, empty
6250,103, empty
6306,103, empty
6365,106, empty
6421,105, empty
6477,107, empty
6533,104, empty
6589,105, empty
6645,98, empty
6700,106, empty
6756,106, empty
6812,103, empty
6868,101, empty
6924,105, empty
6980,106, empty
7036,107, empty
7092,103, empty
7148,102, empty
7204,105, empty
7260,107, empty
7316,106, empty
7372,102, empty
7428,102, empty
7484,105, empty
7540,106, empty
7596,106, empty
7652,105, empty
7708,103, empty
7764,106, empty
7820,107, empty
7876,105, empty
7932,103, empty
7991,104, empty
8047,105, empty
8103,107, empty
8159,107, empty
8215,103, empty
8271,102, empty
8327,105, empty
8383,105, empty
8439,106, empty
8495,103, empty
8551,103, empty
8607,106, empty
8663,107, empty
8719,105, empty
8775,103, empty
8831,96, empty
8886,105, empty
8942,108, empty
8998,105, empty
9054,103, empty
9110,104, empty
9166,106, empty
9222,106, empty
9278,105, empty
9334,101, empty
9390,110, empty
9446,107, empty
9502,107, empty
9561,106, empty
9617,104, empty
9673,102, empty
9729,106, empty
9785,106, empty
9841,106, empty
9897,103, empty
9953,103, empty
10009,105, empty
10066,107, empty
10123,107, empty
10180,104, empty
10237,103, empty
10294,103, empty
10351,104, empty
10408,106, empty
10465,107, empty
10522,106, empty
10579,107, empty
10636,103, empty
10693,103, empty
10750,105, empty
10807,108, empty
10864,107, empty
10921,104, empty
10978,102, empty
11035,103, empty
11092,105, empty
11147,107, empty
11204,106, empty
11261,103, empty
11318,102, empty
11375,111, empty
11432,105, empty
11489,106, empty
11546,106, empty
11603,105, empty
11660,104, empty
11717,102, empty
11774,105, empty
11831,105, empty
11888,108, empty
