Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle,Label,,
54452,41,121,769, middle,,
54566,46,95,766, middle,,
54679,45,62,763, right,,
54792,43,74,765, middle,,
54905,39,108,770, middle,,
55019,39,110,768, middle,,
55133,38,93,766, middle,,
55246,42,99,769, middle,,
55359,49,101,768, middle,,
55473,44,91,766, middle,,
55588,40,88,766, middle,,
55700,42,89,766, middle,,
55813,44,88,765, middle,,
55926,43,84,764, right,,
56039,45,85,765, middle,,
56152,46,88,766, middle,,
56265,42,80,764, right,,
56378,46,85,765, middle,,
56491,48,86,765, middle,,
56604,44,80,764, right,,
56716,49,81,765, middle,,
56829,47,82,765, middle,,
56942,45,78,764, right,,
57055,49,80,764, right,,
57168,47,79,764, right,,
57281,46,78,763, right,,
57394,50,79,764, right,,
57507,47,78,764, right,,
57620,47,76,764, right,,
57735,51,77,764, right,,
57848,50,77,764, right,,
57961,48,74,762, right,,
58074,52,76,763, right,,
58187,50,76,764, right,,
58300,49,73,763, right,,
58413,52,76,763, right,,
58526,50,74,764, right,,
58639,50,72,762, right,,
58752,52,74,763, right,,
58865,50,72,763, right,,
58978,50,70,762, right,,
59091,54,73,763, right,,
59204,51,70,763, right,,
59317,51,70,763, right,,
59430,54,72,763, right,,
59543,51,70,763, right,,
59656,52,69,762, right,,
59769,55,71,764, right,,
59884,53,69,763, right,,
59997,51,68,762, right,,
60110,55,70,763, right,,
60223,52,69,763, right,,
60336,52,68,762, right,,
60449,55,70,763, right,,
60562,52,68,762, right,,
60675,53,67,762, right,,
60788,55,70,762, right,,
60901,52,67,762, right,,
61014,53,67,762, right,,
61127,55,69,762, right,,
61240,51,66,761, right,,
61353,53,67,761, right,,
61466,55,68,762, right,,
61579,52,65,762, right,,
61692,54,66,761, right,,
61805,55,67,762, right,,
61918,52,64,762, right,,
62033,53,64,762, right,,
62146,55,66,762, right,,
62259,53,64,761, right,,
62372,53,64,760, right,,
62485,55,66,761, right,,
62598,53,64,761, right,,
62711,52,64,761, right,,
62824,54,66,762, right,,
62937,51,63,762, right,,
63050,52,64,761, right,,
63163,54,66,762, right,,
63276,50,63,761, right,,
63389,52,64,761, right,,
63502,53,66,762, right,,
63615,50,63,762, right,,
63728,52,65,761, right,,
63841,52,66,762, right,,
63954,48,63,761, right,,
64067,51,65,761, right,,
64182,51,66,762, right,,
64295,47,63,762, right,,
64408,49,63,761, right,,
64521,50,64,761, right,,
64634,46,60,761, right,,
