Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle, rf Distance left, rf Distance right, Label
79361,72,52,768,115,68, middle
79546,69,53,768,118,68, middle
79731,74,54,768,117,68, middle
79916,69,51,767,109,69, middle
80101,69,51,767,109,71, middle
80297,68,50,767,107,69, middle
80482,70,52,767,93,69, middle
80665,71,53,767,98,69, middle
80848,72,53,768,95,91, middle
81032,74,53,768,114,75, middle
81220,69,51,768,101,67, middle
81404,75,53,768,115,98, middle
81591,73,53,767,115,112, middle
81780,69,51,767,104,88, middle
81966,74,54,767,119,70, middle
82152,71,52,768,119,112, middle
82351,73,52,767,119,111, middle
82550,73,52,767,118,92, middle
82737,71,51,768,116,114, middle
82926,72,54,769,116,94, middle
83123,73,53,768,116,113, middle
83312,73,52,767,123,94, middle
83502,71,52,768,119,94, middle
83701,70,52,768,117,95, middle
83888,73,54,767,115,97, middle
84075,72,51,767,161,97, middle
84264,72,54,768,118,111, middle
84453,71,51,767,115,111, middle
84652,73,52,768,159,101, middle
84843,73,53,768,99,111, middle
85030,72,52,767,97,111, middle
85227,75,54,768,116,111, middle
85427,74,53,768,102,111, middle
85617,71,51,767,102,111, middle
85816,71,51,767,102,88, middle
86013,72,51,767,96,111, middle
86199,70,52,767,117,89, middle
86385,74,54,767,120,110, middle
86574,72,51,767,120,110, middle
86773,71,51,768,98,86, middle
86957,70,52,768,117,86, middle
87155,69,51,767,115,91, middle
87341,71,53,768,115,110, middle
87540,70,53,769,115,69, middle
87736,69,52,767,116,112, middle
87927,72,53,768,116,112, middle
88137,70,52,768,97,68, middle
88320,70,53,767,97,69, middle
88515,69,51,767,95,68, middle
88698,72,52,768,118,109, middle
88887,72,53,767,116,89, middle
89073,73,51,767,119,68, middle
89258,70,52,768,117,69, middle
89443,70,53,768,115,109, middle
89631,74,52,768,119,112, middle
89820,70,53,768,121,112, middle
90020,71,54,768,103,112, middle
90221,71,53,768,115,107, middle
90409,70,52,767,122,91, middle
90596,68,52,768,117,68, middle
90781,72,54,768,85,68, middle
90963,69,54,768,120,68, middle
91148,69,51,768,121,68, middle
91334,68,50,768,96,68, middle
91517,65,52,768,98,67, middle
91700,70,53,768,107,68, middle
91885,69,52,767,97,68, middle
92068,68,51,767,120,100, middle
92256,65,51,768,94,99, middle
92443,69,53,768,93,99, middle
92639,67,53,767,97,112, middle
92826,68,52,768,108,112, middle
93025,71,53,768,91,113, middle
93211,67,50,767,91,94, middle
93407,69,52,767,120,96, middle
93594,67,51,767,101,100, middle
93781,71,54,768,117,98, middle
93968,69,51,767,98,98, middle
94153,68,51,767,97,111, middle
94340,71,54,768,98,90, middle
94524,71,53,767,118,98, middle
94713,68,51,767,118,112, middle
94902,71,54,768,97,113, middle
95089,70,51,767,119,93, middle
95276,69,53,768,120,111, middle
95465,72,52,767,120,97, middle
95652,68,51,768,110,98, middle
95839,71,54,768,90,93, middle
96023,70,53,768,119,98, middle
96210,68,51,767,119,96, middle
96407,69,51,767,119,96, middle
96604,71,52,767,125,97, middle
96791,68,51,767,125,112, middle
96993,68,52,768,125,98, middle
97190,68,51,768,96,98, middle
97386,69,51,767,96,92, middle
97582,71,53,768,120,94, middle
97769,68,51,767,116,94, middle
97967,69,51,767,121,92, middle
98154,70,53,768,99,94, middle
98339,71,53,768,122,98, middle
98526,69,51,767,122,112, middle
98725,70,51,767,119,112, middle
98925,71,51,767,120,99, middle
99112,68,52,767,117,98, middle
99301,71,52,767,96,113, middle
99488,69,51,767,121,116, middle
99677,72,53,768,118,96, middle
99864,70,51,767,120,99, middle
100051,71,52,768,97,88, middle
100236,72,54,768,98,88, middle
100421,71,52,767,119,90, middle
100609,71,52,767,120,89, middle
100797,73,53,767,97,91, middle
100982,70,51,767,97,100, middle
101181,71,52,768,126,97, middle
101372,72,54,768,97,97, middle
101569,69,53,768,118,97, middle
101769,71,53,768,94,99, middle
101955,71,54,768,117,99, middle
102143,69,51,768,99,99, middle
102329,70,53,768,95,112, middle
102517,70,52,767,94,114, middle
102705,67,52,767,97,94, middle
102891,71,54,768,102,97, middle
103078,69,52,768,119,98, middle
103266,67,52,768,98,96, middle
103452,70,54,768,100,97, middle
103641,67,51,768,96,101, middle
103828,68,53,768,96,95, middle
104014,69,53,767,95,96, middle
104200,66,51,767,123,95, middle
104388,67,54,768,93,95, middle
104585,66,53,768,99,95, middle
104771,66,54,768,99,97, middle
104968,65,54,768,99,94, middle
105165,64,53,768,99,97, middle
105362,61,52,768,99,95, middle
105559,60,51,768,96,97, middle
105745,61,53,768,121,94, middle
105936,60,51,767,94,94, middle
106122,59,52,767,99,100, middle
106309,60,53,767,96,95, middle
106495,58,51,767,95,97, middle
106681,58,52,767,99,97, middle
106867,60,53,767,95,111, middle
107055,56,50,767,95,97, middle
107241,57,52,767,119,97, middle
107429,59,52,767,96,95, middle
107615,57,50,767,95,97, middle
107801,61,53,767,95,98, middle
107987,63,53,767,95,101, middle
108176,61,51,768,99,98, middle
108362,64,54,768,95,98, middle
108548,66,52,767,98,121, middle
108736,64,52,768,98,97, middle
108922,67,53,768,95,97, middle
109119,65,53,768,95,116, middle
109307,68,52,768,100,97, middle
109494,65,51,767,98,97, middle
109680,68,53,768,98,97, middle
109866,68,52,767,102,96, middle
110053,66,51,768,95,97, middle
110239,69,53,768,98,96, middle
110427,68,51,767,101,93, middle
110614,68,52,768,119,93, middle
110802,71,53,768,95,98, middle
110988,69,50,767,98,99, middle
111174,68,52,767,119,98, middle
111362,71,53,768,95,99, middle
111548,68,50,768,118,96, middle
111736,70,53,767,121,113, middle
111926,69,51,767,95,113, middle
112124,70,52,768,98,112, middle
112312,69,52,767,95,112, middle
112502,71,52,768,100,112, middle
112702,71,52,767,124,112, middle
112903,69,51,768,99,96, middle
113089,68,51,768,99,98, middle
113286,69,50,767,123,99, middle
113474,70,53,768,121,112, middle
113664,69,50,767,94,116, middle
113852,70,53,768,94,96, middle
114049,68,52,768,94,96, middle
114246,66,51,768,119,93, middle
114434,68,54,768,120,99, middle
114622,64,51,767,97,111, middle
114812,64,53,768,119,96, middle
115000,64,51,768,118,99, middle
115188,62,52,768,117,97, middle
115376,63,53,767,124,98, middle
115564,60,51,767,124,96, middle
115762,60,51,768,125,96, middle
115950,62,54,767,117,92, middle
116138,61,51,768,96,114, middle
116326,59,52,768,101,114, middle
116526,59,52,767,94,91, middle
116711,61,54,767,94,89, middle
116896,59,52,767,96,91, middle
117084,57,52,768,120,89, middle
117272,60,53,767,95,113, middle
117460,56,50,768,119,112, middle
117650,59,53,768,121,110, middle
117840,56,50,767,121,110, middle
118051,59,53,768,95,110, middle
118249,59,53,769,95,116, middle
118449,59,53,767,122,92, middle
118637,56,50,768,123,91, middle
118825,58,53,768,112,95, middle
119013,57,51,767,112,98, middle
119203,56,52,768,112,102, middle
119392,58,51,767,123,112, middle
119582,57,52,767,113,96, middle
119770,57,52,768,124,98, middle
119958,55,51,767,113,99, middle
120146,57,53,767,97,99, middle
120332,55,51,767,112,99, middle
120520,55,52,768,114,99, middle
120708,56,52,768,116,99, middle
120896,53,50,768,95,97, middle
121082,55,53,767,94,97, middle
121268,55,52,768,123,96, middle
121459,55,52,768,94,98, middle
121645,56,53,768,96,97, middle
121831,53,50,768,96,88, middle
122016,52,51,768,97,98, middle
122202,54,53,768,96,88, middle
122387,53,51,767,96,88, middle
122572,51,50,767,98,99, middle
122758,53,52,768,124,97, middle
122946,53,51,768,125,96, middle
123134,51,51,768,98,95, middle
123320,53,53,768,117,94, middle
123508,51,50,767,117,92, middle
123709,51,50,767,96,95, middle
123895,52,52,768,117,98, middle
124083,53,52,767,117,101, middle
124272,49,50,767,118,96, middle
124460,52,53,768,118,98, middle
124658,52,53,768,109,97, middle
124846,50,50,767,98,94, middle
125032,49,51,768,97,97, middle
125218,51,53,769,97,96, middle
125404,49,50,767,109,99, middle
125592,48,51,768,94,95, middle
125778,51,53,767,96,95, middle
125962,50,51,768,117,98, middle
126150,47,51,767,96,98, middle
126336,50,53,768,117,97, middle
126524,47,50,768,117,98, middle
126722,49,50,767,118,97, middle
126910,47,51,768,116,98, middle
127098,51,52,768,116,97, middle
127296,52,52,767,127,96, middle
127484,49,50,767,127,96, middle
127682,49,50,767,124,95, middle
127870,49,52,767,124,98, middle
128061,48,50,767,126,97, middle
128250,49,52,767,126,98, middle
128448,48,51,767,124,97, middle
128636,51,52,767,115,98, middle
128824,50,50,767,125,97, middle
129012,53,52,767,109,98, middle
129200,51,50,767,109,95, middle
129398,51,50,767,125,96, middle
129586,50,51,767,115,99, middle
129774,52,52,767,115,99, middle
129972,52,52,768,111,96, middle
130160,49,50,767,126,100, middle
130352,52,52,768,95,100, middle
130539,48,50,767,126,102, middle
130729,51,53,768,125,100, middle
130919,48,50,768,116,102, middle
131108,51,52,767,125,98, middle
131296,49,50,767,95,97, middle
131482,48,50,767,124,99, middle
131670,52,52,767,124,102, middle
131870,52,52,767,124,98, middle
132068,52,52,767,115,99, middle
132256,50,50,767,115,92, middle
132446,53,52,767,111,94, middle
132633,50,50,767,97,92, middle
132819,49,50,767,115,93, middle
133007,52,52,768,97,93, middle
133193,50,50,766,96,93, middle
133378,50,50,768,96,95, middle
133564,52,52,768,96,112, middle
133763,52,52,768,120,92, middle
133951,51,50,767,118,89, middle
134139,50,51,768,118,90, middle
134327,51,52,767,118,91, middle
134525,51,52,767,94,94, middle
134713,49,49,767,97,91, middle
134898,49,51,769,97,93, middle
135095,49,50,767,95,93, middle
135280,51,52,768,125,97, middle
135468,50,50,767,124,96, middle
135656,49,50,767,121,97, middle
135844,51,52,768,121,97, middle
136032,49,49,767,125,111, middle
136222,51,52,768,122,112, middle
136412,47,50,767,121,94, middle
136600,50,52,768,121,94, middle
136788,47,50,766,109,113, middle
136980,49,52,768,120,97, middle
137168,48,50,767,119,94, middle
137356,51,52,767,109,95, middle
137543,54,51,767,117,111, middle
137733,53,50,768,119,113, middle
137923,55,51,768,98,110, middle
138111,53,50,767,98,96, middle
138308,54,50,767,98,97, middle
138505,54,50,768,98,90, middle
138690,52,50,767,97,90, middle
138875,54,52,768,96,90, middle
139063,53,50,768,96,94, middle
139260,54,52,767,93,99, middle
