Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle, rf Distance left, rf Distance right, Label
34850, 22, 59, 752, 48.00, 110.00, left
35057, 23, 58, 751, 48.00, 110.00, left
35264, 23, 58, 751, 48.00, 110.00, left
35471, 22, 59, 751, 48.00, 110.00, left
35680, 24, 58, 752, 48.00, 110.00, left
35887, 22, 58, 751, 48.00, 110.00, left
36094, 23, 59, 752, 48.00, 110.00, left
36301, 23, 58, 751, 48.00, 110.00, left
36508, 22, 58, 751, 48.00, 110.00, left
36715, 23, 59, 752, 48.00, 110.00, left
36922, 23, 58, 751, 48.00, 110.00, left
37129, 23, 58, 751, 48.00, 110.00, left
37336, 23, 58, 751, 48.00, 110.00, left
37543, 23, 58, 752, 48.00, 110.00, left
37750, 22, 59, 751, 48.00, 110.00, left
37957, 23, 58, 751, 48.00, 110.00, left
38166, 22, 58, 751, 48.00, 110.00, left
38373, 22, 59, 751, 48.00, 110.00, left
38580, 23, 58, 751, 48.00, 110.00, left
38787, 22, 58, 752, 48.00, 110.00, left
38994, 23, 59, 752, 48.00, 110.00, left
39201, 23, 58, 751, 48.00, 110.00, left
39408, 22, 58, 751, 48.00, 110.00, left
39615, 23, 59, 751, 48.00, 110.00, left
39822, 23, 58, 752, 48.00, 110.00, left
40029, 22, 58, 752, 48.00, 110.00, left
40236, 23, 59, 751, 48.00, 110.00, left
40443, 22, 58, 752, 48.00, 110.00, left
40650, 23, 59, 751, 48.00, 110.00, left
40859, 23, 58, 751, 48.00, 110.00, left
41066, 23, 58, 751, 48.00, 110.00, left
41273, 23, 59, 752, 48.00, 110.00, left
41480, 23, 58, 751, 48.00, 110.00, left
41687, 22, 58, 752, 48.00, 110.00, left
41894, 22, 59, 752, 48.00, 110.00, left
42101, 22, 58, 751, 48.00, 110.00, left
42308, 23, 58, 752, 48.00, 110.00, left
42515, 23, 59, 750, 48.00, 110.00, left
42722, 23, 58, 752, 48.00, 110.00, left
42929, 23, 58, 751, 48.00, 110.00, left
43136, 23, 59, 751, 48.00, 110.00, left
43345, 23, 58, 751, 48.00, 110.00, left
43552, 23, 59, 752, 48.00, 110.00, left
43759, 23, 58, 751, 48.00, 110.00, left
43966, 23, 58, 752, 48.00, 110.00, left
44173, 23, 59, 752, 48.00, 110.00, left
44380, 23, 58, 751, 48.00, 110.00, left
44587, 23, 58, 752, 48.00, 110.00, left
44794, 23, 59, 752, 48.00, 110.00, left
45001, 23, 58, 751, 48.00, 110.00, left
45208, 22, 58, 751, 48.00, 110.00, left
45415, 23, 59, 752, 48.00, 110.00, left
45622, 23, 58, 752, 48.00, 110.00, left
45829, 23, 58, 752, 48.00, 110.00, left
46038, 23, 59, 752, 48.00, 110.00, left
46245, 23, 58, 751, 48.00, 110.00, left
46452, 23, 59, 752, 48.00, 110.00, left
46659, 23, 59, 752, 48.00, 110.00, left
46866, 23, 58, 752, 48.00, 110.00, left
47073, 23, 59, 752, 48.00, 110.00, left
47280, 23, 59, 751, 48.00, 110.00, left
47487, 23, 58, 752, 48.00, 110.00, left
47694, 23, 59, 751, 48.00, 110.00, left
47901, 23, 58, 752, 48.00, 110.00, left
48108, 23, 58, 751, 48.00, 110.00, left
48315, 23, 59, 751, 48.00, 110.00, left
48524, 24, 58, 752, 48.00, 110.00, left
48731, 23, 58, 751, 48.00, 110.00, left
48938, 26, 59, 752, 48.00, 110.00, left
49145, 36, 58, 752, 48.00, 110.00, left
49352, 27, 59, 752, 48.00, 110.00, left
49559, 24, 59, 751, 48.00, 110.00, left
49766, 25, 58, 752, 48.00, 93.00, left
49960, 23, 59, 752, 48.00, 93.00, left
50166, 25, 58, 752, 48.00, 93.00, left
50372, 22, 59, 752, 48.00, 93.00, left
50578, 23, 59, 752, 48.00, 93.00, left
50784, 21, 59, 752, 48.00, 93.00, left
50990, 19, 58, 752, 48.00, 93.00, left
51198, 19, 59, 752, 48.00, 93.00, left
51404, 20, 59, 751, 48.00, 93.00, left
51610, 23, 58, 751, 48.00, 93.00, left
51816, 21, 59, 752, 48.00, 93.00, left
52022, 24, 59, 751, 48.00, 93.00, left
52228, 24, 58, 752, 48.00, 93.00, left
52434, 22, 59, 751, 48.00, 93.00, left
52640, 23, 59, 752, 48.00, 93.00, left
52846, 23, 58, 752, 48.00, 93.00, left
53052, 23, 59, 751, 48.00, 93.00, left
53258, 23, 59, 752, 48.00, 93.00, left
53464, 23, 59, 752, 48.00, 93.00, left
53670, 23, 58, 751, 48.00, 93.00, left
53878, 23, 59, 752, 48.00, 93.00, left
54084, 23, 59, 752, 48.00, 93.00, left
54290, 22, 58, 752, 48.00, 93.00, left
54496, 21, 59, 752, 48.00, 93.00, left
54702, 22, 59, 751, 48.00, 93.00, left
54908, 21, 58, 751, 48.00, 93.00, left
55114, 21, 59, 752, 48.00, 93.00, left
55320, 21, 59, 752, 48.00, 93.00, left
55526, 22, 58, 751, 48.00, 93.00, left
55732, 21, 58, 753, 48.00, 93.00, left
55938, 21, 59, 752, 48.00, 93.00, left
56144, 21, 59, 752, 48.00, 93.00, left
56352, 21, 59, 751, 48.00, 93.00, left
56558, 22, 59, 752, 48.00, 93.00, left
56764, 22, 59, 752, 48.00, 93.00, left
56970, 22, 58, 752, 48.00, 93.00, left
57176, 21, 59, 751, 48.00, 93.00, left
57382, 22, 59, 752, 48.00, 93.00, left
57588, 22, 58, 752, 48.00, 93.00, left
57794, 21, 59, 752, 48.00, 93.00, left
58000, 21, 59, 751, 48.00, 93.00, left
58206, 22, 58, 752, 48.00, 93.00, left
58412, 22, 58, 752, 48.00, 93.00, left
58618, 22, 59, 752, 48.00, 93.00, left
58824, 22, 59, 752, 48.00, 93.00, left
59032, 22, 58, 752, 48.00, 93.00, left
59238, 21, 59, 752, 48.00, 93.00, left
